Source,Type,Target,Frequency,Architecture,Step,Step scope,Configuration,main,Baseline,MUL,tool,flow,Frontend,ISA,Pipeline,BitManip,MicroArch,PMP,MulDiv,RegisterFile,Shifter,Fmax,LUT_count,LUT_percent,Reg_count,Reg_percent,LUT+Reg_count,BRAM_count,BRAM_percent,DSP_count,DSP_percent,Static_Power,Dynamic_Power,Total_Power,Worst_Slack,Timestamp,_step_index,_last_step
vivado,Fmax,xc7a100t-csg324-1,fmax,NEORV32,pnr,last,NEORV32+ISA_IC,NEORV32,,,vivado,standard,,IC,,,,,,,,161.0,1539,2.43,1209,0.95,2748,32,23.7,0,0.0,0.093,0.016,0.109,0.054,2026-09-10_18-21-51,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,NEORV32,pnr,last,NEORV32+ISA_IM,NEORV32,,,vivado,standard,,IM,,,,,,,,162.0,1683,2.65,1364,1.08,3047,32,23.7,0,0.0,0.093,0.018,0.111,0.028,2026-09-10_18-21-51,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,NEORV32,pnr,last,NEORV32+ISA_IM+MicroArch_FastMul,NEORV32,,,vivado,standard,,IM,,,FastMul,,,,,153.0,1748,2.76,1357,1.07,3105,32,23.7,0,0.0,0.093,0.017,0.11,0.129,2026-09-10_18-21-51,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,NEORV32,pnr,last,NEORV32+ISA_IM+MicroArch_FastMulShift,NEORV32,,,vivado,standard,,IM,,,FastMulShift,,,,,153.0,1748,2.76,1357,1.07,3105,32,23.7,0,0.0,0.093,0.017,0.11,0.129,2026-09-10_18-21-51,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,NEORV32,pnr,last,NEORV32+ISA_IM+MicroArch_FastShift,NEORV32,,,vivado,standard,,IM,,,FastShift,,,,,153.0,1748,2.76,1357,1.07,3105,32,23.7,0,0.0,0.093,0.017,0.11,0.129,2026-09-10_18-21-51,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,NEORV32,pnr,last,NEORV32+ISA_IMC,NEORV32,,,vivado,standard,,IMC,,,,,,,,161.0,1900,3.0,1381,1.09,3281,32,23.7,0,0.0,0.093,0.019,0.112,0.021,2026-09-10_18-21-51,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,NEORV32,pnr,last,NEORV32+ISA_IMCU,NEORV32,,,vivado,standard,,IMCU,,,,,,,,158.0,1906,3.01,1385,1.09,3291,32,23.7,0,0.0,0.093,0.018,0.111,0.176,2026-09-10_18-21-51,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,NEORV32,pnr,last,NEORV32+PMP_PMP16,NEORV32,,,vivado,standard,,,,,,PMP16,,,,84.0,2972,4.69,2184,1.72,5156,33,24.44,0,0.0,0.093,0.022,0.115,0.375,2026-09-10_18-21-51,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,NEORV32,pnr,last,NEORV32+PMP_PMP2,NEORV32,,,vivado,standard,,,,,,PMP2,,,,106.0,1541,2.43,1260,0.99,2801,33,24.44,0,0.0,0.093,0.017,0.11,0.056,2026-09-10_18-21-51,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,NEORV32,pnr,last,NEORV32+PMP_PMP8,NEORV32,,,vivado,standard,,,,,,PMP8,,,,120.0,2258,3.56,1720,1.36,3978,32,23.7,0,0.0,0.093,0.016,0.109,0.173,2026-09-10_18-21-51,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,PICORV32,pnr,last,PICORV32+ISA_I+MulDiv_Div,PICORV32,,,vivado,standard,,I,,,,,Div,,,162.0,1456,2.3,1176,0.93,2632,32,23.7,0,0.0,0.093,0.025,0.118,0.127,2026-09-10_18-15-16,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,PICORV32,pnr,last,PICORV32+ISA_I+MulDiv_Mul,PICORV32,,,vivado,standard,,I,,,,,Mul,,,170.0,1347,2.12,1231,0.97,2578,32,23.7,0,0.0,0.093,0.022,0.115,0.02,2026-09-10_18-15-16,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,PICORV32,pnr,last,PICORV32+ISA_I+MulDiv_MulDiv,PICORV32,,,vivado,standard,,I,,,,,MulDiv,,,146.0,1685,2.66,1431,1.13,3116,32,23.7,0,0.0,0.093,0.028,0.121,0.217,2026-09-10_18-15-16,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,PICORV32,pnr,last,PICORV32+ISA_I+MulDiv_MulFast,PICORV32,,,vivado,standard,,I,,,,,MulFast,,,153.0,1202,1.9,1013,0.8,2215,32,23.7,4,1.67,0.093,0.014,0.107,0.267,2026-09-10_18-15-16,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,PICORV32,pnr,last,PICORV32+ISA_I+MulDiv_Off,PICORV32,,,vivado,standard,,I,,,,,Off,,,155.0,1066,1.68,952,0.75,2018,32,23.7,0,0.0,0.093,0.019,0.112,0.11,2026-09-10_18-15-16,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,PICORV32,pnr,last,PICORV32+ISA_I+RegisterFile_DualPort,PICORV32,,,vivado,standard,,I,,,,,,DualPort,,160.0,1085,1.71,961,0.76,2046,32,23.7,0,0.0,0.093,0.021,0.114,0.021,2026-09-10_18-15-16,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,PICORV32,pnr,last,PICORV32+ISA_I+RegisterFile_SinglePort,PICORV32,,,vivado,standard,,I,,,,,,SinglePort,,155.0,1066,1.68,952,0.75,2018,32,23.7,0,0.0,0.093,0.019,0.112,0.11,2026-09-10_18-15-16,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,PICORV32,pnr,last,PICORV32+ISA_I+Shifter_barrel_shifter,PICORV32,,,vivado,standard,,I,,,,,,,barrel_shifter,167.0,1202,1.9,945,0.75,2147,32,23.7,0,0.0,0.093,0.023,0.116,0.214,2026-09-10_18-15-16,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,PICORV32,pnr,last,PICORV32+ISA_I+Shifter_shift_2stage,PICORV32,,,vivado,standard,,I,,,,,,,shift_2stage,149.0,1078,1.7,952,0.75,2030,32,23.7,0,0.0,0.093,0.017,0.11,0.196,2026-09-10_18-15-16,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,PICORV32,pnr,last,PICORV32+ISA_IC+MulDiv_Div,PICORV32,,,vivado,standard,,IC,,,,,Div,,,117.0,1732,2.73,1209,0.95,2941,32,23.7,0,0.0,0.093,0.024,0.117,0.028,2026-09-10_18-15-16,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,PICORV32,pnr,last,PICORV32+ISA_IC+MulDiv_Mul,PICORV32,,,vivado,standard,,IC,,,,,Mul,,,119.0,1619,2.55,1264,1.0,2883,32,23.7,0,0.0,0.093,0.022,0.115,0.013,2026-09-10_18-15-16,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,PICORV32,pnr,last,PICORV32+ISA_IC+MulDiv_MulDiv,PICORV32,,,vivado,standard,,IC,,,,,MulDiv,,,113.0,1956,3.09,1464,1.15,3420,32,23.7,0,0.0,0.093,0.024,0.117,0.064,2026-09-10_18-15-16,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,PICORV32,pnr,last,PICORV32+ISA_IC+MulDiv_MulFast,PICORV32,,,vivado,standard,,IC,,,,,MulFast,,,118.0,1466,2.31,1046,0.82,2512,32,23.7,4,1.67,0.093,0.017,0.11,0.01,2026-09-10_18-15-16,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,PICORV32,pnr,last,PICORV32+ISA_IC+MulDiv_Off,PICORV32,,,vivado,standard,,IC,,,,,Off,,,118.0,1405,2.22,985,0.78,2390,32,23.7,0,0.0,0.093,0.019,0.112,0.169,2026-09-10_18-15-16,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,PICORV32,pnr,last,PICORV32+ISA_IC+RegisterFile_DualPort,PICORV32,,,vivado,standard,,IC,,,,,,DualPort,,117.0,1370,2.16,994,0.78,2364,32,23.7,0,0.0,0.093,0.02,0.113,0.014,2026-09-10_18-15-16,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,PICORV32,pnr,last,PICORV32+ISA_IC+RegisterFile_SinglePort,PICORV32,,,vivado,standard,,IC,,,,,,SinglePort,,118.0,1405,2.22,985,0.78,2390,32,23.7,0,0.0,0.093,0.019,0.112,0.169,2026-09-10_18-15-16,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,PICORV32,pnr,last,PICORV32+ISA_IC+Shifter_barrel_shifter,PICORV32,,,vivado,standard,,IC,,,,,,,barrel_shifter,118.0,1544,2.44,978,0.77,2522,32,23.7,0,0.0,0.093,0.018,0.111,0.018,2026-09-10_18-15-16,1.0,True
vivado,Fmax,xc7a100t-csg324-1,fmax,PICORV32,pnr,last,PICORV32+ISA_IC+Shifter_shift_2stage,PICORV32,,,vivado,standard,,IC,,,,,,,shift_2stage,117.0,1441,2.27,985,0.78,2426,32,23.7,0,0.0,0.093,0.02,0.113,0.057,2026-09-10_18-15-16,1.0,True
