Source,Type,Target,Frequency,Architecture,Step,Step scope,Configuration,main,Baseline,MUL,tool,flow,Frontend,ISA,Pipeline,Cache,LoadBuff,PMP,SB,BitManip,MicroArch,MulDiv,RegisterFile,Shifter,Fmax,LUT_count,LUT_percent,Reg_count,Reg_percent,LUT+Reg_count,BRAM_count,BRAM_percent,DSP_count,DSP_percent,Static_Power,Dynamic_Power,Total_Power,Worst_Slack,Timestamp,_step_index,_last_step
vivado,Fmax,xc7k325t-ffg900-2,fmax,PICORV32,pnr,last,PICORV32+ISA_I+RegisterFile_SinglePort,PICORV32,,,vivado,standard,,I,,,,,,,,,SinglePort,,248.0,1059,0.52,952,0.23,2011,32,7.19,0,0.0,0.16,0.032,0.192,0.108,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,PICORV32,pnr,last,PICORV32+ISA_I+Shifter_barrel_shifter,PICORV32,,,vivado,standard,,I,,,,,,,,,,barrel_shifter,264.0,1196,0.59,945,0.23,2141,32,7.19,0,0.0,0.16,0.04,0.2,0.0,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,PICORV32,pnr,last,PICORV32+ISA_I+Shifter_shift_2stage,PICORV32,,,vivado,standard,,I,,,,,,,,,,shift_2stage,247.0,1074,0.53,952,0.23,2026,32,7.19,0,0.0,0.16,0.03,0.19,0.196,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,PICORV32,pnr,last,PICORV32+ISA_IC+MulDiv_Div,PICORV32,,,vivado,standard,,IC,,,,,,,,Div,,,193.0,1733,0.85,1209,0.3,2942,32,7.19,0,0.0,0.16,0.032,0.192,0.068,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,PICORV32,pnr,last,PICORV32+ISA_IC+MulDiv_Mul,PICORV32,,,vivado,standard,,IC,,,,,,,,Mul,,,193.0,1622,0.8,1264,0.31,2886,32,7.19,0,0.0,0.16,0.039,0.199,0.091,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,PICORV32,pnr,last,PICORV32+ISA_IC+MulDiv_MulDiv,PICORV32,,,vivado,standard,,IC,,,,,,,,MulDiv,,,186.0,1959,0.96,1464,0.36,3423,32,7.19,0,0.0,0.16,0.043,0.203,0.068,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,PICORV32,pnr,last,PICORV32+ISA_IC+MulDiv_MulFast,PICORV32,,,vivado,standard,,IC,,,,,,,,MulFast,,,192.0,1478,0.73,1046,0.26,2524,32,7.19,4,0.48,0.16,0.028,0.188,0.024,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,PICORV32,pnr,last,PICORV32+ISA_IC+MulDiv_Off,PICORV32,,,vivado,standard,,IC,,,,,,,,Off,,,196.0,1409,0.69,985,0.24,2394,32,7.19,0,0.0,0.16,0.032,0.192,0.009,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,PICORV32,pnr,last,PICORV32+ISA_IC+RegisterFile_DualPort,PICORV32,,,vivado,standard,,IC,,,,,,,,,DualPort,,192.0,1372,0.67,994,0.24,2366,32,7.19,0,0.0,0.16,0.03,0.19,0.081,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,PICORV32,pnr,last,PICORV32+ISA_IC+RegisterFile_SinglePort,PICORV32,,,vivado,standard,,IC,,,,,,,,,SinglePort,,196.0,1409,0.69,985,0.24,2394,32,7.19,0,0.0,0.16,0.032,0.192,0.009,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,PICORV32,pnr,last,PICORV32+ISA_IC+Shifter_barrel_shifter,PICORV32,,,vivado,standard,,IC,,,,,,,,,,barrel_shifter,189.0,1535,0.75,978,0.24,2513,32,7.19,0,0.0,0.16,0.032,0.192,0.027,2026-09-15_10-35-52,1.0,True
vivado,Fmax,xc7k325t-ffg900-2,fmax,PICORV32,pnr,last,PICORV32+ISA_IC+Shifter_shift_2stage,PICORV32,,,vivado,standard,,IC,,,,,,,,,,shift_2stage,192.0,1444,0.71,985,0.24,2429,32,7.19,0,0.0,0.16,0.032,0.192,0.025,2026-09-15_10-35-52,1.0,True
